Video ID,Video Name and Directory
1,Anger/01
2,Anger/02
3,Anger/04
4,Anger/10AnnoyingThingsCarPassengersDo[Part1]
5,Anger/10AnnoyingThingsCarPassengersDo[Part2]
6,Anger/11
7,Anger/12
8,Anger/15
9,Anger/17
10,Anger/18
11,Anger/19
12,Anger/20.Stage2.Anger
13,Anger/21
14,Anger/22
15,Anger/27
16,Anger/28
17,Anger/29
18,Anger/2968179635_c24b5c723a_700
19,Anger/2_vs_4_street_fight_rumble_in_Russian_housing_project
20,Anger/30
21,Anger/3016071331_3b030f98ae_700
22,Anger/3093008706_97381d4539_700
23,Anger/32
24,Anger/3245211604_22edb1f862_700
25,Anger/33
26,Anger/3588056773_d76461808b_700
27,Anger/36
28,Anger/3670715153_1d97988213_700
29,Anger/37
30,Anger/3796776541_932372979e_700
31,Anger/38
32,Anger/3838697081_e52ce4c0c5_700
33,Anger/3884685651_da46368052_700
34,Anger/3885479290_fb2e6d52fb_700
35,Anger/4035227760_c78abfbe30_700
36,Anger/4038861632_af2b1a16b4_700
37,Anger/4190502954_d8144da30c_700
38,Anger/4333854808_c2f4f384b9_700
39,Anger/4680584478_80e29ee9e7_700
40,Anger/4943361730_c12eb71df1_700
41,Anger/5070589015_38312e1972_700
42,Anger/5170938595_d0bf5e924f_700
43,Anger/5223985491_8bc17a6c2b_700
44,Anger/5237019304_afd266999b_700
45,Anger/5396919831_a585bc92f2_700
46,Anger/5398817861_aab3f3ccc3_700
47,Anger/5518400511_11d2b78065_700
48,Anger/5705678747_946d56b9ca_700
49,Anger/5986004191_47ec419eb5_700
50,Anger/5WaysToAnnoyYourMother
51,Anger/5WaystoAnnoyYourTeacher
52,Anger/6313518397_3883f8b630_hd
53,Anger/6351662166_5215e1bd7d_hd
54,Anger/6654894581_72dabc67bd_700
55,Anger/7480040448_9c08fedc0c_700
56,Anger/9195508205_360p
57,Anger/ANGRYGARBAGEMANRAGES_
58,Anger/ANGRYGRANDPAGETSKICKEDOUTOFCICI;SPIZZA.
59,Anger/ANGRY_CUSTOMER_WANTS_HER_RECEIPT
60,Anger/ANGRY_GARBAGE_MAN_RAGES
61,Anger/A_Pissed_off_Christian
62,Anger/A_pissed_off_Ginger
63,Anger/A_serious_quarrel_in_India
64,Anger/AngryGrandpaDestroysKitchenTable!
65,Anger/AngryWomanvsBike
66,Anger/Angry_Batmans_Want_Video_Game
67,Anger/Angry_Black_Woman_vs._Mexican_Guy_at_Church_s_Chicken
68,Anger/Angry_Customers_at_Wendys
69,Anger/Angry_Gamer_Ruins_Thanksgiving
70,Anger/Angry_Grandpa_-_Destroys_Furniture
71,Anger/Angry_Grandpa_Destroys_Bathroom
72,Anger/Angry_Grandpa_vs_Slip-N-Slide
73,Anger/Angry_Guy_Yells_At_Trumpet_Player
74,Anger/Angry_Irish_Man_Cannot_Find_His_Soup_Funny_Subtitled_Version
75,Anger/Angry_Mom_Smashes_Laptop
76,Anger/Angry_Motorcycle_Rider
77,Anger/Angry_bulgarian
78,Anger/Angry_dad_Fights_Young_Skater
79,Anger/Angry_girl_vs_Skaters
80,Anger/Angry_wife_catches_husband_at_girlfriend_s_house_again
81,Anger/AngrymangoesnutsatWendy_sdrivethru
82,Anger/Annoyance101
83,Anger/AnnoyanceTest
84,Anger/Annoying
85,Anger/AnnoyingDevil-BallsOfSteel
86,Anger/AnnoyingHabitsPart2
87,Anger/AnnoyingPeopleonAirplanes
88,Anger/BeatboxAnnoyance
89,Anger/BoxofANNOYANCE
90,Anger/Brown_Mom_Gets_Angry
91,Anger/COMEDY--Fat_guy_gets_really_pissed_off_lol
92,Anger/Couple_quarrel
93,Anger/Couples_quarrel
94,Anger/DDSPublicAnnoyance
95,Anger/Dirtbike_ktm_hunter_angry_agressice_people_Wrong_Turn
96,Anger/Don_t_piss_off_a_heavy_equipment_operator
97,Anger/EXTREMELYANGRYSHEPARD
98,Anger/EpicRageTime-TheIncredibleDerp(Feat.GreyDeLisle)-AlligatorTub
99,"Anger/ExtremeRoadRage"
100,Anger/ExtremelyAngryCustomeratMcDonalds-Veryfunny
101,"Anger/Funny,AngryPeople"
102,Anger/German_Police_Pissed_Off
103,Anger/Girlfriend_Really_Pissed_Off
104,Anger/Girls_fighting_in_street
105,Anger/Grown_man_angry_over_angry_birds
106,Anger/HOWTOANNOYGIRLS
107,Anger/Hairdresser_gets_pissed_off
108,Anger/HowToAnnoyATelemarketer
109,Anger/HowToAnnoyYourColleagues
110,Anger/HowToStopRussianRoadRage(July2013)
111,Anger/How_To_Piss_Off_Your_Parents
112,Anger/HowtoAnnoyPeopleinanElevator
113,Anger/HowtoAnnoySomeoneaLot
114,Anger/HowtoAnnoyYourFriends
115,Anger/Howtoannoyyourroommate
116,Anger/Howtoannoyyourroommate__(SoFunny)
117,Anger/IHAVEANGERISSUES
118,Anger/Indian_women_street_fight
119,Anger/Insaneannoyance
120,Anger/Irate_Customer_Freaking_out_at_Poor_Cashier
121,Anger/Irate_Old_Man_Calls_Parking_Attendant_A_C-Word_13_Times_In_Less_Than_3_Minutes
122,Anger/JamaicanRoadRage-TRABASS_TV
123,Anger/KillmyPC
124,Anger/LOVERS_QUARREL_2013
125,Anger/Little_Girl_Getting_Pissed_Off_About_Pink_Toys
126,Anger/Lovers_Quarrel
127,Anger/McNuggetRageFAIL
128,Anger/NERDRAGE--(YourFavoriteMartianmusicvideo)
129,Anger/NEWS_MAN_GETS_REALLY_ANGRY
