Video ID,Video Name and Directory,color_comfort,light_association,complexity,organization,naturalness,interest,valence,stimulation,vitality,comfort,relaxation,hominess,uplift,approachability,explorability
1,MODN/SPACE_05_MODN_clip_001,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
2,MODN/SPACE_05_MODN_clip_002,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
3,MODN/SPACE_05_MODN_clip_003,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
4,MODN/SPACE_05_MODN_clip_004,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
5,MODN/SPACE_05_MODN_clip_005,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
6,MODN/SPACE_05_MODN_clip_006,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
7,MODN/SPACE_05_MODN_clip_007,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
8,MODN/SPACE_05_MODN_clip_008,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
9,MODN/SPACE_05_MODN_clip_009,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
10,MODN/SPACE_05_MODN_clip_010,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
11,MODN/SPACE_05_MODN_clip_011,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
12,MODN/SPACE_05_MODN_clip_012,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
13,MODN/SPACE_05_MODN_clip_013,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
14,MODN/SPACE_05_MODN_clip_014,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
15,MODN/SPACE_05_MODN_clip_015,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
16,MODN/SPACE_05_MODN_clip_016,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
17,MODN/SPACE_05_MODN_clip_017,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
18,MODN/SPACE_05_MODN_clip_018,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
19,MODN/SPACE_05_MODN_clip_019,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
20,MODN/SPACE_05_MODN_clip_020,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
21,MODN/SPACE_05_MODN_clip_021,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
22,MODN/SPACE_05_MODN_clip_022,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
23,MODN/SPACE_05_MODN_clip_023,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
24,MODN/SPACE_05_MODN_clip_024,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
25,MODN/SPACE_05_MODN_clip_025,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
26,MODN/SPACE_05_MODN_clip_026,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
27,MODN/SPACE_05_MODN_clip_027,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
28,MODN/SPACE_05_MODN_clip_028,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
29,MODN/SPACE_05_MODN_clip_029,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
30,MODN/SPACE_05_MODN_clip_030,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.625,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
31,MODN/SPACE_06_MODN_clip_001,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
32,MODN/SPACE_06_MODN_clip_002,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
33,MODN/SPACE_06_MODN_clip_003,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
34,MODN/SPACE_06_MODN_clip_004,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
35,MODN/SPACE_06_MODN_clip_005,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
36,MODN/SPACE_06_MODN_clip_006,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
37,MODN/SPACE_06_MODN_clip_007,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
38,MODN/SPACE_06_MODN_clip_008,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
39,MODN/SPACE_06_MODN_clip_009,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
40,MODN/SPACE_06_MODN_clip_010,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
41,MODN/SPACE_06_MODN_clip_011,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
42,MODN/SPACE_06_MODN_clip_012,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
43,MODN/SPACE_06_MODN_clip_013,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
44,MODN/SPACE_06_MODN_clip_014,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
45,MODN/SPACE_06_MODN_clip_015,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
46,MODN/SPACE_06_MODN_clip_016,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
47,MODN/SPACE_06_MODN_clip_017,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
48,MODN/SPACE_06_MODN_clip_018,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
49,MODN/SPACE_06_MODN_clip_019,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
50,MODN/SPACE_06_MODN_clip_020,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
51,MODN/SPACE_06_MODN_clip_021,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
52,MODN/SPACE_06_MODN_clip_022,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
53,MODN/SPACE_06_MODN_clip_023,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
54,MODN/SPACE_06_MODN_clip_024,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
55,MODN/SPACE_06_MODN_clip_025,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
56,MODN/SPACE_06_MODN_clip_026,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
57,MODN/SPACE_06_MODN_clip_027,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
58,MODN/SPACE_06_MODN_clip_028,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
59,MODN/SPACE_06_MODN_clip_029,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
60,MODN/SPACE_06_MODN_clip_030,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.5,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
61,MODN/SPACE_07_MODN_clip_001,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
62,MODN/SPACE_07_MODN_clip_002,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
63,MODN/SPACE_07_MODN_clip_003,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
64,MODN/SPACE_07_MODN_clip_004,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
65,MODN/SPACE_07_MODN_clip_005,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
66,MODN/SPACE_07_MODN_clip_006,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
67,MODN/SPACE_07_MODN_clip_007,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
68,MODN/SPACE_07_MODN_clip_008,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
69,MODN/SPACE_07_MODN_clip_009,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
70,MODN/SPACE_07_MODN_clip_010,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
71,MODN/SPACE_07_MODN_clip_011,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
72,MODN/SPACE_07_MODN_clip_012,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
73,MODN/SPACE_07_MODN_clip_013,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
74,MODN/SPACE_07_MODN_clip_014,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
75,MODN/SPACE_07_MODN_clip_015,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
76,MODN/SPACE_07_MODN_clip_016,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
77,MODN/SPACE_07_MODN_clip_017,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
78,MODN/SPACE_07_MODN_clip_018,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
79,MODN/SPACE_07_MODN_clip_019,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
80,MODN/SPACE_07_MODN_clip_020,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
81,MODN/SPACE_07_MODN_clip_021,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
82,MODN/SPACE_07_MODN_clip_022,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
83,MODN/SPACE_07_MODN_clip_023,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
84,MODN/SPACE_07_MODN_clip_024,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
85,MODN/SPACE_07_MODN_clip_025,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
86,MODN/SPACE_07_MODN_clip_026,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
87,MODN/SPACE_07_MODN_clip_027,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
88,MODN/SPACE_07_MODN_clip_028,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
89,MODN/SPACE_07_MODN_clip_029,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
90,MODN/SPACE_07_MODN_clip_030,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
91,MODN/SPACE_08_MODN_clip_001,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
92,MODN/SPACE_08_MODN_clip_002,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
93,MODN/SPACE_08_MODN_clip_003,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
94,MODN/SPACE_08_MODN_clip_004,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
95,MODN/SPACE_08_MODN_clip_005,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
96,MODN/SPACE_08_MODN_clip_006,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
97,MODN/SPACE_08_MODN_clip_007,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
98,MODN/SPACE_08_MODN_clip_008,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
99,MODN/SPACE_08_MODN_clip_009,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
100,MODN/SPACE_08_MODN_clip_010,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
101,MODN/SPACE_08_MODN_clip_011,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
102,MODN/SPACE_08_MODN_clip_012,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
103,MODN/SPACE_08_MODN_clip_013,0.671875,0.552083333,0.625,0.5625,0.34375,0.5,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
