Video ID,Video Name and Directory,color_comfort,light_association,complexity,organization,naturalness,beauty,personalness,interest,modernity,valence,stimulation,vitality,comfort,relaxation,hominess,uplift,approachability,explorability
1,MODN/SPACE_05_MODN,0.734375,0.583333333,0.458333333,0.729166667,0.458333333,0.760416667,0.572916667,0.625,0.775,0.6625,0.635416667,0.677083333,0.697916667,0.739583333,0.677083333,0.635416667,0.75,0.78125
2,MODN/SPACE_06_MODN,0.666666667,0.263888889,0.638888889,0.708333333,0.236111111,0.638888889,0.541666667,0.5,0.933333333,0.466666667,0.555555556,0.5,0.611111111,0.486111111,0.458333333,0.5,0.597222222,0.597222222
3,MODN/SPACE_07_MODN,0.645833333,0.375,0.791666667,0.625,0.208333333,0.680555556,0.597222222,0.680555556,0.816666667,0.55,0.694444444,0.597222222,0.583333333,0.486111111,0.527777778,0.486111111,0.583333333,0.597222222
4,MODN/SPACE_08_MODN,0.671875,0.552083333,0.625,0.5625,0.34375,0.572916667,0.583333333,0.5,0.6625,0.525,0.53125,0.635416667,0.614583333,0.552083333,0.53125,0.53125,0.5625,0.614583333
5,MUJI/SPACE_05_MUJI,0.84375,0.802083333,0.333333333,0.791666667,0.583333333,0.75,0.635416667,0.572916667,0.6375,0.7125,0.614583333,0.697916667,0.75,0.770833333,0.708333333,0.65625,0.770833333,0.65625
6,MUJI/SPACE_06_MUJI,0.833333333,0.777777778,0.277777778,0.736111111,0.638888889,0.791666667,0.736111111,0.722222222,0.65,0.683333333,0.736111111,0.75,0.763888889,0.791666667,0.708333333,0.75,0.777777778,0.777777778
7,MUJI/SPACE_07_MUJI,0.8125,0.736111111,0.430555556,0.819444444,0.486111111,0.777777778,0.736111111,0.597222222,0.683333333,0.666666667,0.638888889,0.638888889,0.763888889,0.763888889,0.652777778,0.611111111,0.666666667,0.666666667
8,MUJI/SPACE_08_MUJI,0.796875,0.770833333,0.416666667,0.71875,0.552083333,0.770833333,0.645833333,0.65625,0.65,0.7,0.677083333,0.71875,0.791666667,0.770833333,0.770833333,0.708333333,0.78125,0.760416667
9,SCAN/SPACE_05_SCAN,0.71875,0.677083333,0.541666667,0.645833333,0.458333333,0.708333333,0.666666667,0.635416667,0.65,0.6,0.65625,0.635416667,0.697916667,0.6875,0.708333333,0.65625,0.677083333,0.666666667
10,SCAN/SPACE_06_SCAN,0.833333333,0.763888889,0.638888889,0.722222222,0.583333333,0.763888889,0.513888889,0.722222222,0.75,0.7,0.708333333,0.791666667,0.763888889,0.763888889,0.708333333,0.666666667,0.777777778,0.791666667
11,SCAN/SPACE_07_SCAN,0.833333333,0.611111111,0.444444444,0.722222222,0.430555556,0.75,0.666666667,0.680555556,0.766666667,0.716666667,0.694444444,0.652777778,0.75,0.694444444,0.736111111,0.638888889,0.708333333,0.722222222
12,SCAN/SPACE_08_SCAN,0.8125,0.770833333,0.510416667,0.729166667,0.5625,0.8125,0.708333333,0.6875,0.725,0.7375,0.708333333,0.729166667,0.791666667,0.802083333,0.71875,0.677083333,0.78125,0.802083333
13,WABI/SPACE_05_WABI,0.640625,0.65625,0.395833333,0.697916667,0.4375,0.635416667,0.65625,0.447916667,0.725,0.5625,0.458333333,0.552083333,0.604166667,0.65625,0.604166667,0.604166667,0.614583333,0.583333333
14,WABI/SPACE_06_WABI,0.625,0.583333333,0.513888889,0.652777778,0.319444444,0.569444444,0.541666667,0.458333333,0.733333333,0.416666667,0.444444444,0.430555556,0.486111111,0.444444444,0.444444444,0.444444444,0.541666667,0.486111111
15,WABI/SPACE_07_WABI,0.666666667,0.430555556,0.444444444,0.708333333,0.236111111,0.694444444,0.555555556,0.527777778,0.8,0.633333333,0.541666667,0.555555556,0.680555556,0.638888889,0.611111111,0.597222222,0.680555556,0.652777778
16,WABI/SPACE_08_WABI,0.671875,0.479166667,0.322916667,0.708333333,0.3125,0.6875,0.625,0.458333333,0.6875,0.5125,0.5,0.427083333,0.53125,0.541666667,0.5,0.46875,0.59375,0.59375
